,tag,component,text
4,R1,supports Arg1:T4 Arg2:T5,
10,R2,supports Arg1:T7 Arg2:T9,
11,R3,supports Arg1:T8 Arg2:T9,
15,R4,supports Arg1:T12 Arg2:T11,
16,R5,contradicts Arg1:T11 Arg2:T10,
22,R6,contradicts Arg1:T16 Arg2:T17,
23,R7,contradicts Arg1:T15 Arg2:T17,
25,R8,supports Arg1:T17 Arg2:T18,
29,R9,semantically_same Arg1:T20 Arg2:T21,
33,R10,supports Arg1:T23 Arg2:T22,
34,R11,supports Arg1:T24 Arg2:T22,
36,R12,contradicts Arg1:T22 Arg2:T25,
39,R13,parts_of_same Arg1:T26 Arg2:T27,
41,R14,supports Arg1:T28 Arg2:T27,
45,R15,supports Arg1:T31 Arg2:T30,
46,R16,supports Arg1:T30 Arg2:T29,
50,R17,supports Arg1:T34 Arg2:T32,
51,R18,supports Arg1:T32 Arg2:T33,
52,R19,supports Arg1:T33 Arg2:T29,
55,R20,supports Arg1:T36 Arg2:T35,
56,R21,supports Arg1:T35 Arg2:T29,
60,R22,supports Arg1:T39 Arg2:T38,
61,R23,supports Arg1:T38 Arg2:T29,
65,R24,supports Arg1:T41 Arg2:T40,
66,R25,supports Arg1:T42 Arg2:T40,
70,R26,parts_of_same Arg1:T44 Arg2:T45,
71,R27,parts_of_same Arg1:T43 Arg2:T45,
75,R28,supports Arg1:T47 Arg2:T44,
76,R29,supports Arg1:T48 Arg2:T44,
77,R30,supports Arg1:T46 Arg2:T45,
80,R31,semantically_same Arg1:T49 Arg2:T21,
85,R32,supports Arg1:T54 Arg2:T51,
86,R33,supports Arg1:T53 Arg2:T51,
87,R34,supports Arg1:T54 Arg2:T52,
88,R35,supports Arg1:T53 Arg2:T52,
91,R36,supports Arg1:T56 Arg2:T55,
94,R37,contradicts Arg1:T57 Arg2:T58,
98,R38,supports Arg1:T61 Arg2:T60,
99,R39,supports Arg1:T60 Arg2:T59,
102,R40,supports Arg1:T63 Arg2:T62,
108,R41,supports Arg1:T65 Arg2:T64,
109,R42,supports Arg1:T66 Arg2:T64,
110,R43,supports Arg1:T67 Arg2:T64,
111,R44,contradicts Arg1:T64 Arg2:T68,
113,R45,semantically_same Arg1:T69 Arg2:T50,
115,R46,semantically_same Arg1:T70 Arg2:T69,
117,R47,semantically_same Arg1:T71 Arg2:T70,
118,R48,semantically_same Arg1:T50 Arg2:T49,
121,R49,supports Arg1:T73 Arg2:T72,
123,R50,semantically_same Arg1:T74 Arg2:T71,
126,R51,supports Arg1:T76 Arg2:T75,
128,R52,supports Arg1:T75 Arg2:T77,
131,R53,supports Arg1:T79 Arg2:T78,
134,R54,supports Arg1:T81 Arg2:T80,
136,R55,supports Arg1:T81 Arg2:T82,
139,R56,supports Arg1:T83 Arg2:T84,
141,R57,supports Arg1:T85 Arg2:T83,
144,R58,supports Arg1:T86 Arg2:T84,
145,R59,supports Arg1:T87 Arg2:T84,
150,R60,supports Arg1:T90 Arg2:T89,
151,R61,supports Arg1:T91 Arg2:T89,
155,R62,supports Arg1:T94 Arg2:T93,
158,R63,supports Arg1:T96 Arg2:T95,
161,R64,supports Arg1:T98 Arg2:T97,
164,R65,supports Arg1:T100 Arg2:T99,
168,R66,supports Arg1:T103 Arg2:T101,
169,R67,contradicts Arg1:T99 Arg2:T102,
172,R68,supports Arg1:T105 Arg2:T104,
174,R69,supports Arg1:T105 Arg2:T106,
178,R70,supports Arg1:T109 Arg2:T108,
180,R71,supports Arg1:T110 Arg2:T108,
181,R72,semantically_same Arg1:T108 Arg2:T74,
186,R73,supports Arg1:T113 Arg2:T112,
187,R74,supports Arg1:T114 Arg2:T112,
189,R75,supports Arg1:T115 Arg2:T4,
190,R76,semantically_same Arg1:T14 Arg2:T15,
192,R77,supports Arg1:T116 Arg2:T25,
195,R78,supports Arg1:T117 Arg2:T3,
196,R79,supports Arg1:T118 Arg2:T3,
197,R80,supports Arg1:T9 Arg2:T6,
200,R81,parts_of_same Arg1:T119 Arg2:T120,
206,R82,parts_of_same Arg1:T122 Arg2:T123,
207,R83,supports Arg1:T124 Arg2:T122,
208,R84,supports Arg1:T125 Arg2:T122,
211,R85,supports Arg1:T41 Arg2:T127,
212,R86,supports Arg1:T42 Arg2:T127,
215,R87,contradicts Arg1:T129 Arg2:T128,
219,R88,supports Arg1:T132 Arg2:T131,
222,R89,supports Arg1:T133 Arg2:T134,
225,R90,supports Arg1:T136 Arg2:T135,
227,R91,supports Arg1:T60 Arg2:T137,
230,R92,parts_of_same Arg1:T139 Arg2:T138,
232,R93,supports Arg1:T138 Arg2:T140,
235,R94,supports Arg1:T142 Arg2:T141,
238,R95,supports Arg1:T143 Arg2:T144,
240,R96,supports Arg1:T145 Arg2:T77,
243,R97,supports Arg1:T146 Arg2:T147,
246,R98,supports Arg1:T149 Arg2:T148,
248,R99,supports Arg1:T150 Arg2:T149,
251,R100,supports Arg1:T152 Arg2:T151,
254,R101,supports Arg1:T88 Arg2:T154,
256,R102,supports Arg1:T155 Arg2:T92,
260,R103,supports Arg1:T158 Arg2:T157,
261,R104,supports Arg1:T157 Arg2:T156,
266,R105,supports Arg1:T161 Arg2:T162,
274,R106,supports Arg1:T169 Arg2:T168,
276,R107,supports Arg1:T170 Arg2:T168,
278,R108,supports Arg1:T171 Arg2:T168,
281,R109,supports Arg1:T173 Arg2:T172,
284,R110,supports Arg1:T174 Arg2:T175,
287,R111,supports Arg1:T177 Arg2:T176,
289,R112,supports Arg1:T178 Arg2:T176,
291,R113,supports Arg1:T179 Arg2:T20,
294,R114,supports Arg1:T181 Arg2:T180,
296,R115,supports Arg1:T182 Arg2:T4,
298,R116,supports Arg1:T183 Arg2:T4,
